1766200503,160.0,0.0
1766200504,110.0,0.0
1766200505,110.0,0.0
1766200506,110.0,0.0
1766200508,100.0,0.0
1766200509,100.0,0.0
1766200510,120.0,0.0
1766200511,110.0,0.0
1766200512,100.0,0.0
1766200514,110.0,0.0
1766200515,110.0,0.0
1766200516,90.9,0.0
1766200517,100.0,0.0
1766200518,100.0,0.0
1766200520,100.0,0.0
1766200521,110.0,0.0
1766200522,110.0,0.0
1766200523,100.0,0.0
1766200524,100.0,0.0
1766200526,110.0,0.0
1766200527,110.0,0.0
1766200528,100.0,0.0
1766200529,110.0,0.0
1766200531,100.0,0.0
1766200532,110.0,0.1
1766200533,110.0,0.1
1766200534,120.0,0.1
1766200535,90.9,0.1
1766200537,110.0,0.1
1766200538,100.0,0.1
1766200539,110.0,0.1
1766200540,110.0,0.1
1766200541,100.0,0.1
1766200543,100.0,0.1
1766200544,109.1,0.1
1766200545,100.0,0.1
1766200546,110.0,0.1
1766200548,100.0,0.1
1766200549,100.0,0.1
1766200550,110.0,0.1
1766200551,100.0,0.1
1766200552,110.0,0.1
1766200554,110.0,0.1
1766200555,110.0,0.1
1766200556,100.0,0.1
1766200557,110.0,0.1
1766200558,100.0,0.1
1766200560,100.0,0.1
1766200561,110.0,0.1
1766200562,100.0,0.1
